obs,setting,type,staff_case,res_case,deaths ,Date_
1,51st Street Family Shelter,Homeless Shelter,1,0,0,2020-12-17
2,A Bridge Home - Casa Azul,Homeless Shelter,1,0,0,2020-12-17
3,A Bridge Home - Hope St.,Homeless Shelter,5,20,0,2020-12-17
4,Abundant Blessings From Above - 3rd Ave,Homeless Shelter,0,1,0,2020-12-17
5,Abundant Blessings From Above - 62nd St,Homeless Shelter,0,3,0,2020-12-17
6,Abundant Blessings From Above 332,Homeless Shelter,0,3,0,2020-12-17
7,American Motel,Hotel Motel,1,2,0,2020-12-17
8,Angel's Flight Youth Shelter,Homeless Shelter,1,1,0,2020-12-17
9,Aviva Family and Children's Services - Wallis House,Homeless Shelter,1,0,0,2020-12-17
10,Ballington Plaza,Homeless Shelter,0,1,0,2020-12-17
11,Bassett Park Winter Shelter,Homeless Shelter,0,8,0,2020-12-17
12,BCP TLP South Los Angeles,Homeless Shelter,2,0,0,2020-12-17
13,Bridge Housing For Women,Homeless Shelter,0,2,0,2020-12-17
14,Bridge Taper Shelter,Homeless Shelter,2,18,0,2020-12-17
15,Bridge To Home,Homeless Shelter,0,1,0,2020-12-17
16,Canby House,Homeless Shelter,1,21,0,2020-12-17
17,Cardinal Manning Center,Homeless Shelter,0,1,0,2020-12-17
18,Casa de Zulma,Homeless Shelter,1,0,0,2020-12-17
19,Cheviot Hills Recreation Center,Homeless Shelter,1,0,0,2020-12-17
20,Cloverfield,Homeless Shelter,1,0,0,2020-12-17
21,"Community Bridge Housing, Sylmar",Homeless Shelter,0,1,0,2020-12-17
22,Connections For Women,Homeless Shelter,0,6,0,2020-12-17
23,Connections For Women Colden Ave,Homeless Shelter,0,5,0,2020-12-17
24,Connections For Women Main Street,Homeless Shelter,0,1,0,2020-12-17
25,Covenant House,Homeless Shelter,2,3,0,2020-12-17
26,Downtown Women's Center,Homeless Shelter,3,0,0,2020-12-17
27,Downtown Women's Center (SRO),Single Room Occupancy Housing,1,0,0,2020-12-17
28,Encampment - Arleta,Homeless Encampment,0,1,0,2020-12-17
29,Encampment - Arleta #2,Homeless Encampment,0,1,0,2020-12-17
30,Encampment - Canoga Park,Homeless Encampment,0,1,0,2020-12-17
31,Encampment - Central LA #5,Homeless Encampment,0,1,0,2020-12-17
32,Encampment - Central LA #7,Homeless Encampment,0,1,0,2020-12-17
33,Encampment - Central LA #8,Homeless Encampment,0,2,0,2020-12-17
34,Encampment - Central LA #10,Homeless Encampment,0,1,0,2020-12-17
35,Encampment - Central LA #18,Homeless Encampment,0,2,0,2020-12-17
36,Encampment - Central LA #19,Homeless Encampment,0,4,0,2020-12-17
