,Date,setting,res_case,staff_case,deaths ,type,Total_Case,pct_change_cases
3291,2020-07-28,109th Street Recreation Center Shelter,0.0,2.0,0.0,Homeless Shelter,2.0,100.0
3292,2020-07-28,A Bridge Home,0.0,2.0,0.0,Homeless Shelter,2.0,100.0
3293,2020-07-28,Abundant Blessings From Above,2.0,1.0,0.0,Homeless Shelter,3.0,0.0
3294,2020-07-28,Ascencia Homeless Shelter,1.0,0.0,0.0,Homeless Shelter,1.0,0.0
3295,2020-07-28,Bassett Park Winter Shelter,1.0,6.0,0.0,Homeless Shelter,7.0,0.0
3296,2020-07-28,Bryant Temple Women's Winter Shelter,1.0,0.0,0.0,Homeless Shelter,1.0,0.0
3297,2020-07-28,Casa de Zulma,3.0,0.0,0.0,Homeless Shelter,3.0,0.0
3298,2020-07-28,Central Recreation Center,1.0,4.0,0.0,Homeless Shelter,5.0,400.0
3299,2020-07-28,Cheviot Hills Recreation Center,0.0,1.0,0.0,Homeless Shelter,1.0,0.0
3300,2020-07-28,"Community Bridge Housing, Sylmar",2.0,0.0,0.0,Homeless Shelter,2.0,100.0
3301,2020-07-28,Connections For Women,2.0,1.0,0.0,Homeless Shelter,3.0,200.0
3302,2020-07-28,Covenant House,3.0,1.0,0.0,Homeless Shelter,4.0,0.0
3303,2020-07-28,Crescent Hotel Apartments/ Property,1.0,0.0,0.0,Single Room Occupancy Housing,1.0,0.0
3304,2020-07-28,Downey Shelter,1.0,0.0,0.0,Homeless Shelter,1.0,0.0
3305,2020-07-28,Echo Park Recreation Center Shelter,1.0,0.0,0.0,Homeless Shelter,1.0,0.0
3306,2020-07-28,Encampment - 27th District,2.0,0.0,0.0,Homeless Encampment,2.0,0.0
3307,2020-07-28,Encampment - Boyle Heights,1.0,0.0,0.0,Homeless Encampment,1.0,0.0
3308,2020-07-28,Encampment - Boyle Heights #2,1.0,0.0,0.0,Homeless Encampment,1.0,0.0
3309,2020-07-28,Encampment - Boyle Heights #3,1.0,0.0,0.0,Homeless Encampment,1.0,0.0
3310,2020-07-28,Encampment - Central LA,1.0,0.0,0.0,Homeless Encampment,1.0,0.0
3311,2020-07-28,Encampment - Central LA #3,3.0,0.0,0.0,Homeless Encampment,3.0,0.0
3312,2020-07-28,Encampment - Central LA #4,1.0,0.0,0.0,Homeless Encampment,1.0,0.0
3313,2020-07-28,Encampment - Central LA #5,1.0,0.0,0.0,Homeless Encampment,1.0,0.0
3314,2020-07-28,Encampment - Central LA #7,3.0,0.0,0.0,Homeless Encampment,3.0,0.0
3315,2020-07-28,Encampment - Central LA #8,1.0,0.0,0.0,Homeless Encampment,1.0,0.0
3316,2020-07-28,Encampment - Chatsworth,1.0,0.0,0.0,Homeless Encampment,1.0,0.0
3317,2020-07-28,Encampment - Hollywood,0.0,1.0,0.0,Homeless Encampment,1.0,0.0
3318,2020-07-28,Encampment - Hollywood #2,1.0,0.0,0.0,Homeless Encampment,1.0,0.0
3319,2020-07-28,Encampment - Hollywood #3,3.0,0.0,0.0,Homeless Encampment,3.0,0.0
3320,2020-07-28,Encampment - Hollywood #4,1.0,0.0,0.0,Homeless Encampment,1.0,0.0
3321,2020-07-28,Encampment - Hollywood #5,1.0,0.0,0.0,Homeless Encampment,1.0,0.0
3322,2020-07-28,Encampment - Hollywood #6,2.0,0.0,0.0,Homeless Encampment,2.0,0.0
3323,2020-07-28,Encampment - Hollywood #7,1.0,0.0,0.0,Homeless Encampment,1.0,0.0
3324,2020-07-28,Encampment - Lancaster,1.0,0.0,0.0,Homeless Encampment,1.0,0.0
3325,2020-07-28,Encampment - Macarthur Park,4.0,0.0,0.0,Homeless Encampment,4.0,0.0
3326,2020-07-28,Encampment - Mid City,1.0,0.0,0.0,Homeless Encampment,1.0,0.0
3327,2020-07-28,Encampment - Nevin,2.0,0.0,0.0,Homeless Encampment,2.0,0.0
3328,2020-07-28,Encampment - North Hollywood,1.0,0.0,0.0,Homeless Encampment,1.0,0.0
3329,2020-07-28,Encampment - North Hollywood Studio City,4.0,0.0,0.0,Homeless Encampment,4.0,0.0
3330,2020-07-28,Encampment - Norwalk,1.0,0.0,0.0,Homeless Encampment,1.0,0.0
3331,2020-07-28,Encampment - Pico Rivera,1.0,0.0,0.0,Homeless Encampment,1.0,0.0
3332,2020-07-28,Encampment - Pomona #1,1.0,0.0,0.0,Homeless Encampment,1.0,0.0
3333,2020-07-28,Encampment - Safe Parking Spa 1,5.0,4.0,0.0,Homeless Encampment,9.0,0.0
